Oscilloscope data. 
Time step = 80,00 nS
Voltage step = 31,25 mV
Zero level = 95

N 	Min. 	Max.	T min 	T max.
986	106	106	0	0
987	105	106	0	0
988	106	106	0	0
989	106	107	0	0
990	106	107	0	0
991	107	107	0	0
992	106	107	0	0
993	107	107	0	0
994	107	107	0	0
995	107	108	0	0
996	107	108	0	0
997	107	108	0	0
998	108	108	0	0
999	107	109	0	0
1000	108	109	0	0
1001	108	109	0	0
1002	108	109	0	0
1003	109	109	0	0
1004	109	109	0	0
1005	109	109	0	0
1006	109	110	0	0
1007	109	110	0	0
1008	110	110	0	0
1009	110	110	0	0
1010	110	110	0	0
1011	110	111	0	0
1012	110	111	0	0
1013	110	111	0	0
1014	111	111	0	0
1015	111	111	0	0
1016	111	112	0	0
1017	111	112	0	0
1018	111	113	0	0
1019	112	112	0	0
1020	112	112	0	0
1021	112	113	0	0
1022	112	113	0	0
1023	113	113	0	0
1024	113	114	0	0
1025	113	113	0	0
1026	113	114	0	0
1027	113	114	0	0
1028	113	115	0	0
1029	114	115	0	0
1030	114	115	0	0
1031	114	115	0	0
1032	115	115	0	0
1033	115	115	0	0
1034	115	115	0	0
1035	115	116	0	0
1036	115	116	0	0
1037	116	116	0	0
1038	116	117	0	0
1039	116	117	0	0
1040	116	117	0	0
1041	116	118	0	0
1042	117	117	0	0
1043	117	118	0	0
1044	117	118	0	0
1045	117	118	0	0
1046	118	118	0	0
1047	118	119	0	0
1048	118	119	0	0
1049	118	119	0	0
1050	119	119	0	0
1051	119	119	0	0
1052	119	119	0	0
1053	119	119	0	0
1054	119	120	0	0
1055	120	121	0	0
1056	120	121	0	0
1057	120	121	0	0
1058	120	121	0	0
1059	120	121	0	0
1060	121	122	0	0
1061	121	122	0	0
1062	122	122	0	0
1063	121	122	0	0
1064	122	123	0	0
1065	122	123	0	0
1066	122	123	0	0
1067	122	123	0	0
1068	123	123	0	0
1069	123	124	0	0
1070	123	124	0	0
1071	123	125	0	0
1072	124	125	0	0
1073	124	125	0	0
1074	125	125	0	0
1075	125	125	0	0
1076	125	125	0	0
1077	125	126	0	0
1078	125	126	0	0
1079	126	126	0	0
1080	126	126	0	0
1081	126	127	0	0
1082	126	127	0	0
1083	127	127	0	0
1084	127	128	0	0
1085	127	128	0	0
1086	127	129	0	0
1087	127	129	0	0
1088	127	128	0	0
1089	127	129	0	0
1090	128	129	0	0
1091	128	129	0	0
1092	128	129	0	0
1093	129	129	0	0
1094	129	129	0	0
1095	129	130	0	0
1096	129	130	0	0
1097	129	130	0	0
1098	130	131	0	0
1099	130	131	0	0
1100	131	131	0	0
1101	131	131	0	0
1102	131	131	0	0
1103	131	132	0	0
1104	131	132	0	0
1105	131	132	0	0
1106	132	132	0	0
1107	132	133	0	0
1108	132	133	0	0
1109	133	133	0	0
1110	133	133	0	0
1111	133	134	0	0
1112	133	134	0	0
1113	133	134	0	0
1114	134	135	0	0
1115	134	135	0	0
1116	134	135	0	0
1117	134	135	0	0
1118	135	135	0	0
1119	135	136	0	0
1120	135	136	0	0
1121	135	136	0	0
1122	135	136	0	0
1123	136	136	0	0
1124	136	137	0	0
1125	136	137	0	0
1126	137	137	0	0
1127	137	137	0	0
1128	137	138	0	0
1129	137	138	0	0
1130	138	138	0	0
1131	138	139	0	0
1132	138	139	0	0
1133	138	139	0	0
1134	139	139	0	0
1135	139	140	0	0
1136	139	140	0	0
1137	139	140	0	0
1138	140	140	0	0
1139	140	140	0	0
1140	140	141	0	0
1141	141	141	0	0
1142	140	142	0	0
1143	141	142	0	0
1144	141	142	0	0
1145	142	142	0	0
1146	141	142	0	0
1147	142	142	0	0
1148	142	143	0	0
1149	142	143	0	0
1150	143	143	0	0
1151	143	143	0	0
1152	143	144	0	0
1153	143	144	0	0
1154	143	144	0	0
1155	143	144	0	0
1156	144	145	0	0
1157	144	145	0	0
1158	145	145	0	0
1159	144	145	0	0
1160	145	146	0	0
1161	145	146	0	0
1162	145	146	0	0
1163	145	147	0	0
1164	146	147	0	0
1165	145	147	0	0
1166	146	147	0	0
1167	147	147	0	0
1168	147	147	0	0
1169	147	148	0	1
1170	147	148	1	1
1171	148	148	1	1
1172	147	149	1	1
1173	148	149	1	1
1174	148	149	1	1
1175	148	149	1	1
1176	149	149	1	1
1177	149	149	1	1
1178	149	150	1	1
1179	149	150	1	1
1180	149	150	1	1
1181	150	150	1	1
1182	150	150	1	1
1183	150	151	1	1
1184	150	150	1	1
1185	150	151	1	1
1186	150	151	1	1
1187	151	151	1	1
1188	151	151	1	1
1189	151	152	1	1
1190	151	153	1	1
1191	152	153	1	1
1192	151	153	1	1
1193	152	153	1	1
1194	152	153	1	1
1195	152	153	1	1
1196	153	153	1	1
1197	153	154	1	1
1198	153	154	1	1
1199	153	154	1	1
1200	153	154	1	1
1201	153	154	1	1
1202	154	154	1	1
1203	154	155	1	1
1204	154	155	1	1
1205	154	155	1	1
1206	155	155	1	1
1207	155	155	1	1
1208	155	155	1	1
1209	155	156	1	1
1210	155	156	1	1
1211	155	156	1	1
1212	156	157	1	1
1213	156	157	1	1
1214	156	157	1	1
1215	156	157	1	1
1216	157	157	1	1
1217	157	157	1	1
1218	157	157	1	1
1219	157	157	1	1
1220	157	158	1	1
1221	157	158	1	1
1222	157	158	1	1
1223	158	158	1	1
1224	158	158	1	1
1225	158	159	1	1
1226	158	158	1	1
1227	158	159	1	1
1228	158	159	1	1
1229	159	159	1	1
1230	159	159	1	1
1231	159	159	1	1
1232	159	159	1	1
1233	159	160	1	1
1234	159	161	1	1
1235	160	161	1	1
1236	159	161	1	1
1237	160	161	1	1
1238	160	161	1	1
1239	160	161	1	1
1240	160	161	1	1
1241	160	161	1	1
1242	161	161	1	1
1243	160	161	1	1
1244	160	161	1	1
1245	161	161	1	1
1246	161	161	1	1
1247	161	161	1	1
1248	161	161	1	1
1249	161	161	1	1
1250	161	162	1	1
1251	161	162	1	1
1252	162	162	1	1
1253	161	162	1	1
1254	161	162	1	1
1255	162	162	1	1
1256	162	163	1	1
1257	162	163	1	1
1258	162	163	1	1
1259	162	163	1	1
1260	162	163	1	1
1261	162	163	1	1
1262	163	163	1	1
1263	163	163	1	1
1264	163	163	1	1
1265	163	163	1	1
1266	163	163	1	1
1267	163	164	1	1
1268	163	164	1	1
1269	163	164	1	1
1270	164	164	1	1
1271	163	164	1	1
1272	164	165	1	1
1273	163	165	1	1
1274	164	164	1	1
1275	164	165	1	1
1276	164	165	1	1
1277	164	165	1	1
1278	164	165	1	1
1279	164	165	1	1
1280	165	165	1	1
1281	164	165	1	1
1282	164	165	1	1
1283	164	165	1	1
1284	165	165	1	1
1285	165	165	1	1
1286	165	165	1	1
1287	165	165	1	1
1288	165	165	1	1
1289	165	165	1	1
1290	165	165	1	1
1291	165	166	1	1
1292	165	166	1	1
1293	165	166	1	1
1294	165	166	1	1
1295	166	166	1	1
1296	165	166	1	1
1297	166	166	1	1
1298	166	166	1	1
1299	166	166	1	1
1300	166	166	1	1
1301	166	166	1	1
1302	166	166	1	1
1303	166	166	1	1
1304	166	166	1	1
1305	166	166	1	1
1306	166	166	1	1
1307	166	167	1	1
1308	166	166	1	1
1309	166	166	1	1
1310	166	167	1	1
1311	166	167	1	1
1312	166	167	1	1
1313	166	167	1	1
1314	166	167	1	1
1315	166	167	1	1
1316	166	167	1	1
1317	166	167	1	1
1318	166	167	1	1
1319	166	167	1	1
1320	166	167	1	1
1321	166	167	1	1
1322	166	167	1	1
1323	166	167	1	1
1324	166	167	1	1
1325	166	167	1	1
1326	166	167	1	1
1327	166	167	1	1
1328	166	167	1	1
1329	166	167	1	1
1330	166	167	1	1
1331	167	167	1	1
1332	166	167	1	1
1333	166	167	1	1
